epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,1154.73,1.98706,1.2859,1.06596,0.47538,0.3346,0.31965,0.15356,1.83505,1.4439,1.03986,0.0084061,0.0084061,0.0084061
163,1162.04,1.99117,1.33394,1.05914,0.48188,0.33811,0.32408,0.14188,1.84905,1.39018,1.03475,0.0083962,0.0083962,0.0083962
164,1169.3,1.93334,1.24881,1.06754,0.50389,0.33013,0.33874,0.15875,1.98888,1.62397,1.06269,0.0083863,0.0083863,0.0083863
165,1176.63,1.94694,1.26091,1.04652,0.55413,0.34283,0.3524,0.16232,1.98217,1.37595,1.0554,0.0083764,0.0083764,0.0083764
166,1183.93,1.97709,1.29158,1.04898,0.50892,0.32057,0.32521,0.14457,1.96947,1.28032,1.04929,0.0083665,0.0083665,0.0083665
167,1191.22,2.00007,1.32008,1.06544,0.53059,0.33876,0.34443,0.15884,1.87309,1.16205,1.01239,0.0083566,0.0083566,0.0083566
168,1198.52,1.95311,1.26279,1.06827,0.58251,0.34314,0.34226,0.1601,1.86752,1.23998,1.01047,0.0083467,0.0083467,0.0083467
169,1205.82,1.96786,1.28708,1.0462,0.52224,0.30855,0.33603,0.15675,1.90762,1.25279,1.03036,0.0083368,0.0083368,0.0083368
170,1213.16,2.07242,1.36474,1.09326,0.48161,0.28997,0.31003,0.15054,1.90364,1.34074,1.05002,0.0083269,0.0083269,0.0083269
171,1220.49,2.01684,1.29181,1.06668,0.59039,0.34756,0.34836,0.16551,1.90453,1.35624,1.0765,0.008317,0.008317,0.008317
172,1227.74,1.93618,1.28403,1.04594,0.50949,0.30258,0.30774,0.13972,1.93342,1.55024,1.07989,0.0083071,0.0083071,0.0083071
173,1235.01,2.00341,1.30068,1.06393,0.55059,0.32533,0.3357,0.15752,1.80655,1.28267,1.01563,0.0082972,0.0082972,0.0082972
174,1242.4,1.93434,1.25581,1.03668,0.51783,0.30424,0.32312,0.15963,1.80356,1.24822,1.00827,0.0082873,0.0082873,0.0082873
175,1249.64,1.96902,1.2895,1.0522,0.44105,0.33831,0.31397,0.14607,1.94177,1.19286,1.02496,0.0082774,0.0082774,0.0082774
176,1256.83,1.9356,1.23029,1.01587,0.59387,0.3177,0.32218,0.14356,1.96827,1.41442,1.06385,0.0082675,0.0082675,0.0082675
177,1264.04,1.99448,1.33255,1.06363,0.56933,0.33013,0.34218,0.14654,1.97401,1.4631,1.08635,0.0082576,0.0082576,0.0082576
178,1271.23,1.98166,1.28695,1.05615,0.53932,0.30665,0.30938,0.15427,1.8814,1.56667,1.02049,0.0082477,0.0082477,0.0082477
179,1278.54,1.97351,1.27935,1.06501,0.48107,0.33524,0.34275,0.16091,1.82991,1.34888,0.99699,0.0082378,0.0082378,0.0082378
